=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 80s
  [183/1224] 122s
  [244/1224] 175s
  [305/1224] 223s
  [366/1224] 287s
  [427/1224] 327s
  [488/1224] 361s
  [549/1224] 404s
  [610/1224] 448s
  [671/1224] 506s
  [732/1224] 555s
  [793/1224] 601s
  [854/1224] 648s
  [915/1224] 691s
  [976/1224] 735s
  [1037/1224] 795s
  [1098/1224] 852s
  [1159/1224] 896s
  [1220/1224] 933s

Done in 941s

=== Per-pair results ===
  Grounded Grounded Gro… vs RuPauls Dragon Race   :   2W   1L   5D ( 66.7% for Grounded Grounded Gro…, 3/8 decided)
  Grounded Grounded Gro… vs Soft and Wet          :   4W   0L   4D (100.0% for Grounded Grounded Gro…, 4/8 decided)
  Grounded Grounded Gro… vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Brain Blast           :   3W   5L   0D ( 37.5% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Disco Inferno         :   4W   4L   0D ( 50.0% for Grounded Grounded Gro…, 8/8 decided)
            Ice Ice Baby vs Heavy Metal           :   0W   7L   1D (  0.0% for Ice Ice Baby, 7/8 decided)
            Ice Ice Baby vs Stop Bugging Me       :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Electric Boogaloo     :   1W   7L   0D ( 12.5% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Fly Away Now          :   2W   6L   0D ( 25.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Toxic Team            :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Rock Hard             :   1W   3L   4D ( 25.0% for Ice Ice Baby, 4/8 decided)
            Ice Ice Baby vs RuPauls Dragon Race   :   3W   5L   0D ( 37.5% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Soft and Wet          :   2W   3L   3D ( 40.0% for Ice Ice Baby, 5/8 decided)
            Ice Ice Baby vs Your Ass is Grass     :   1W   7L   0D ( 12.5% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Brain Blast           :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Disco Inferno         :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
             Heavy Metal vs Stop Bugging Me       :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Electric Boogaloo     :   7W   1L   0D ( 87.5% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Fly Away Now          :   6W   1L   1D ( 85.7% for Heavy Metal, 7/8 decided)
             Heavy Metal vs Toxic Team            :   6W   0L   2D (100.0% for Heavy Metal, 6/8 decided)
             Heavy Metal vs Rock Hard             :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs RuPauls Dragon Race   :   6W   2L   0D ( 75.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Soft and Wet          :   0W   0L   8D (  0.0% for Heavy Metal, 0/8 decided)
             Heavy Metal vs Your Ass is Grass     :   5W   3L   0D ( 62.5% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Brain Blast           :   1W   5L   2D ( 16.7% for Heavy Metal, 6/8 decided)
             Heavy Metal vs Disco Inferno         :   1W   7L   0D ( 12.5% for Heavy Metal, 8/8 decided)
         Stop Bugging Me vs Electric Boogaloo     :   2W   5L   1D ( 28.6% for Stop Bugging Me, 7/8 decided)
         Stop Bugging Me vs Fly Away Now          :   3W   5L   0D ( 37.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Toxic Team            :   2W   6L   0D ( 25.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Rock Hard             :   2W   6L   0D ( 25.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs RuPauls Dragon Race   :   6W   1L   1D ( 85.7% for Stop Bugging Me, 7/8 decided)
         Stop Bugging Me vs Soft and Wet          :   0W   4L   4D (  0.0% for Stop Bugging Me, 4/8 decided)
         Stop Bugging Me vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Brain Blast           :   6W   2L   0D ( 75.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Disco Inferno         :   0W   8L   0D (  0.0% for Stop Bugging Me, 8/8 decided)
       Electric Boogaloo vs Fly Away Now          :   3W   4L   1D ( 42.9% for Electric Boogaloo, 7/8 decided)
       Electric Boogaloo vs Toxic Team            :   4W   4L   0D ( 50.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Rock Hard             :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Soft and Wet          :   1W   2L   5D ( 33.3% for Electric Boogaloo, 3/8 decided)
       Electric Boogaloo vs Your Ass is Grass     :   2W   6L   0D ( 25.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Brain Blast           :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Disco Inferno         :   3W   5L   0D ( 37.5% for Electric Boogaloo, 8/8 decided)
            Fly Away Now vs Toxic Team            :   2W   4L   2D ( 33.3% for Fly Away Now, 6/8 decided)
            Fly Away Now vs Rock Hard             :   0W   7L   1D (  0.0% for Fly Away Now, 7/8 decided)
